id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
N   1,5161.0732421875,5489.01220703125,5525.15966796875,5631.04443359375,5498.57373046875,5853.685546875,,,,,,,,,,,,
N   2,4213.61767578125,4356.56494140625,4151.2578125,4251.2705078125,4033.3349609375,4481.3662109375,,,,,,,,,,,,
N   3,3490.939697265625,3610.902587890625,3417.208251953125,3511.886474609375,3294.95361328125,3694.0810546875,,,,,,,,,,,,
N   4,4683.63134765625,4870.22119140625,4807.55810546875,4894.15185546875,4737.23583984375,5110.89697265625,,,,,,,,,,,,
N   5,5523.6171875,5640.240234375,5363.91845703125,5439.5595703125,5135.2197265625,5763.3466796875,,,,,,,,,,,,
N   6,4164.9306640625,4341.85791015625,4292.84521484375,4332.99755859375,4224.55908203125,4537.5546875,,,,,,,,,,,,
N   7,5214.20751953125,5429.20361328125,5343.9052734375,5373.83642578125,5255.396484375,5658.4306640625,,,,,,,,,,,,
N   8,8770.2568359375,9636.0283203125,10052.2119140625,10291.9677734375,9949.673828125,10563.466796875,,,,,,,,,,,,
N   9,5108.763671875,5298.12548828125,5151.07958984375,5259.21044921875,4980.20068359375,5473.48046875,,,,,,,,,,,,
N  10,9832.2158203125,10410.919921875,10383.6171875,10598.4560546875,10345.9658203125,11101.94140625,,,,,,,,,,,,
N  11,5156.609375,5438.14892578125,5471.45556640625,5543.84423828125,5421.9931640625,5744.02490234375,,,,,,,,,,,,
N  12,5160.97900390625,5529.78076171875,5586.6640625,5721.123046875,5584.52197265625,5939.6279296875,,,,,,,,,,,,
N  13,6175.24755859375,6537.88525390625,6532.51416015625,6656.4658203125,6510.1826171875,6961.431640625,,,,,,,,,,,,
N  14,3898.26904296875,3972.18896484375,3862.27099609375,3918.866455078125,3737.234619140625,4072.505859375,,,,,,,,,,,,
N  15,5467.6376953125,5745.771484375,5734.60498046875,5818.4228515625,5690.1923828125,6070.57470703125,,,,,,,,,,,,
N  16,5984.81103515625,6240.86083984375,6143.23486328125,6170.208984375,6007.259765625,6489.83837890625,,,,,,,,,,,,
N  17,6169.7607421875,6525.69775390625,6483.8125,6567.904296875,6438.474609375,6895.2119140625,,,,,,,,,,,,
N  18,9255.580078125,9614.7197265625,9522.986328125,9609.6708984375,9383.2451171875,10010.1591796875,,,,,,,,,,,,
N  19,5738.10205078125,6046.654296875,6005.53857421875,6109.8681640625,5966.0419921875,6420.14404296875,,,,,,,,,,,,
N  20,10444.46484375,11290.3984375,11503.5126953125,11721.962890625,11421.4833984375,12118.4501953125,,,,,,,,,,,,
N  21,9224.1240234375,9667.646484375,9574.267578125,9761.1064453125,9511.3408203125,10244.25,,,,,,,,,,,,
N  22,5231.52880859375,5518.4375,5579.30029296875,5646.2333984375,5538.353515625,5832.97216796875,,,,,,,,,,,,
N  23,3383.076416015625,3484.09765625,3319.896728515625,3392.207275390625,3266.505615234375,3653.015380859375,,,,,,,,,,,,
N  24,6322.02392578125,6714.19970703125,6733.103515625,6846.32275390625,6700.39892578125,7131.46826171875,,,,,,,,,,,,
N  25,5022.70458984375,5272.2216796875,5257.81103515625,5337.2197265625,5216.90966796875,5568.06298828125,,,,,,,,,,,,
N  26,8842.7734375,9272.431640625,9268.791015625,9402.11328125,9205.4580078125,9769.015625,,,,,,,,,,,,
N  27,3363.248291015625,3590.600341796875,3634.05908203125,3723.182861328125,3633.756103515625,3853.6904296875,,,,,,,,,,,,
N  28,12084.869140625,12993.611328125,13195.11328125,13496.7919921875,13155.7490234375,13959.640625,,,,,,,,,,,,
N  29,3902.27392578125,4215.12890625,4151.873046875,4271.75830078125,4168.3388671875,4609.5107421875,,,,,,,,,,,,
N  30,5589.626953125,5838.4609375,5780.00390625,5835.03759765625,5687.99560546875,6110.767578125,,,,,,,,,,,,
N  31,7070.27099609375,7471.3017578125,7496.9140625,7634.36083984375,7458.4931640625,7954.259765625,,,,,,,,,,,,
