id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
N   1,5142.009765625,5578.162109375,5883.77099609375,6076.90283203125,6137.10302734375,6045.40283203125,,,,,,,,,,,,
N   2,4167.787109375,4241.1123046875,4239.93896484375,4199.99365234375,4243.75390625,4324.9609375,,,,,,,,,,,,
N   3,3464.747802734375,3535.87646484375,3509.252685546875,3447.4091796875,3476.134033203125,3582.9501953125,,,,,,,,,,,,
N   4,4655.51123046875,4860.8173828125,5059.5048828125,5131.078125,5160.27880859375,5195.6865234375,,,,,,,,,,,,
N   5,5507.357421875,5325.48974609375,5293.0615234375,5355.19775390625,5421.06201171875,5407.4326171875,,,,,,,,,,,,
N   6,4177.712890625,4244.75,4346.857421875,4440.43212890625,4530.1396484375,4454.3095703125,,,,,,,,,,,,
N   7,5190.03759765625,5253.28173828125,5366.10986328125,5450.56396484375,5566.90771484375,5508.92822265625,,,,,,,,,,,,
N   8,8699.78125,10394.259765625,11047.818359375,11553.9130859375,11405.7294921875,11290.5703125,,,,,,,,,,,,
N   9,5083.63232421875,5249.79150390625,5324.37060546875,5315.84375,5317.24072265625,5442.953125,,,,,,,,,,,,
N  10,9819.166015625,10518.6513671875,10971.5341796875,11304.099609375,11523.60546875,11432.6181640625,,,,,,,,,,,,
N  11,5174.95068359375,5462.5009765625,5736.251953125,5926.3583984375,5983.24072265625,5833.9736328125,,,,,,,,,,,,
N  12,5135.404296875,5738.005859375,6052.80224609375,6300.67626953125,6313.39208984375,6292.71044921875,,,,,,,,,,,,
N  13,6173.8759765625,6601.68603515625,6896.25146484375,7107.2939453125,7229.30029296875,7160.85205078125,,,,,,,,,,,,
N  14,3930.3466796875,3848.94091796875,3905.892333984375,3972.269287109375,3998.152587890625,3963.815185546875,,,,,,,,,,,,
N  15,5478.7734375,5725.86865234375,5978.26171875,6148.33447265625,6248.60986328125,6112.787109375,,,,,,,,,,,,
N  16,5945.86376953125,6022.55126953125,6173.994140625,6250.29150390625,6365.41455078125,6256.91796875,,,,,,,,,,,,
N  17,6167.88525390625,6449.13916015625,6681.04345703125,6829.3955078125,6997.44775390625,6860.43359375,,,,,,,,,,,,
N  18,9291.0986328125,9514.1005859375,9815.326171875,10030.4736328125,10183.2333984375,10001.3681640625,,,,,,,,,,,,
N  19,5741.43310546875,6021.41015625,6265.033203125,6416.95751953125,6563.1298828125,6486.22265625,,,,,,,,,,,,
N  20,10399.01171875,11715.4140625,12354.6875,12813.58203125,12845.2236328125,12575.99609375,,,,,,,,,,,,
N  21,9195.72265625,9690.1923828125,10076.322265625,10372.734375,10526.4521484375,10475.40625,,,,,,,,,,,,
N  22,5259.03759765625,5588.1982421875,5873.65625,6099.53173828125,6119.07763671875,5979.3603515625,,,,,,,,,,,,
N  23,3365.860595703125,3425.3037109375,3423.183837890625,3493.724365234375,3558.68798828125,3664.302734375,,,,,,,,,,,,
N  24,6329.86669921875,6787.45068359375,7107.689453125,7339.1298828125,7439.5390625,7318.29833984375,,,,,,,,,,,,
N  25,5028.7275390625,5251.64013671875,5479.9306640625,5630.82470703125,5720.6337890625,5600.2158203125,,,,,,,,,,,,
N  26,8875.51171875,9287.322265625,9719.0888671875,10019.1455078125,10136.6533203125,9900.1201171875,,,,,,,,,,,,
N  27,3351.594970703125,3740.290283203125,3927.6767578125,4108.7607421875,4106.3837890625,4098.78662109375,,,,,,,,,,,,
N  28,12057.42578125,13574.203125,14267.193359375,14885.138671875,14870.19140625,14788.693359375,,,,,,,,,,,,
N  29,3806.96875,4346.990234375,4521.4013671875,4642.94287109375,4828.35107421875,4932.41845703125,,,,,,,,,,,,
N  30,5597.7568359375,5724.45556640625,5893.892578125,5977.51416015625,6091.0205078125,6000.59033203125,,,,,,,,,,,,
N  31,7048.185546875,7555.58447265625,7940.86181640625,8189.4736328125,8288.6689453125,8200.005859375,,,,,,,,,,,,
N  32,5622.43994140625,5929.68408203125,6216.748046875,6410.689453125,6488.55126953125,6291.4072265625,,,,,,,,,,,,
N  33,4035.990234375,4045.20361328125,4148.32470703125,4241.90087890625,4287.01123046875,4207.48974609375,,,,,,,,,,,,
N  34,7791.0966796875,7891.3720703125,7932.39306640625,7948.98095703125,8025.22900390625,8086.25537109375,,,,,,,,,,,,
N  35,3464.747802734375,3535.87646484375,3509.252685546875,3447.4091796875,3476.134033203125,3582.9501953125,,,,,,,,,,,,
N  36,3118.046630859375,3655.63330078125,3866.422119140625,4040.096435546875,4004.3193359375,3995.033447265625,,,,,,,,,,,,
N  37,1913.9306640625,2175.826416015625,2300.730712890625,2425.338623046875,2384.16748046875,2398.20263671875,,,,,,,,,,,,
N  38,8097.92919921875,9102.5302734375,9603.1201171875,9978.18359375,10010.35546875,9936.7548828125,,,,,,,,,,,,
N  39,3319.445556640625,3632.078369140625,3829.4580078125,3967.107177734375,3992.827880859375,3905.79931640625,,,,,,,,,,,,
N  40,2569.849853515625,3022.954345703125,3182.122314453125,3341.4541015625,3303.23779296875,3300.494140625,,,,,,,,,,,,
N  41,5282.6005859375,5768.14111328125,6109.91259765625,6342.17138671875,6350.7333984375,6318.197265625,,,,,,,,,,,,
N  42,3964.340087890625,4364.068359375,4605.494140625,4769.8623046875,4795.26123046875,4723.53271484375,,,,,,,,,,,,
N  43,7895.53466796875,9198.57421875,9679.205078125,10112.7724609375,10091.361328125,10069.2392578125,,,,,,,,,,,,
N  44,4803.9560546875,4958.62353515625,5123.6142578125,5255.8564453125,5384.8408203125,5250.21142578125,,,,,,,,,,,,
N  45,5312.33056640625,5594.35400390625,5867.38623046875,6051.4208984375,6130.61865234375,5985.818359375,,,,,,,,,,,,
N  46,5512.5439453125,5617.20068359375,5796.6455078125,5925.0859375,6037.78125,5881.2314453125,,,,,,,,,,,,
N  47,4228.59326171875,4348.2705078125,4451.64013671875,4505.18310546875,4556.94189453125,4662.33544921875,,,,,,,,,,,,
N  48,4353.24560546875,4902.12744140625,5174.6513671875,5388.9130859375,5372.17041015625,5312.05224609375,,,,,,,,,,,,
N  49,6309.7734375,7113.42724609375,7522.80810546875,7880.994140625,7771.73681640625,7721.8125,,,,,,,,,,,,
N  50,5302.99951171875,5503.16015625,5725.13232421875,5835.580078125,5892.97021484375,5891.9267578125,,,,,,,,,,,,
N  51,5043.46484375,5036.99560546875,5010.17822265625,4897.40380859375,4984.28076171875,5072.27685546875,,,,,,,,,,,,
N  52,6277.52685546875,6987.16015625,7346.16064453125,7607.8173828125,7639.25537109375,7497.140625,,,,,,,,,,,,
N  53,7898.06982421875,8578.6142578125,9067.646484375,9390.2314453125,9434.193359375,9382.5625,,,,,,,,,,,,
N  54,6470.86181640625,6557.20947265625,6741.51708984375,6917.0439453125,7021.017578125,6881.73974609375,,,,,,,,,,,,
N  55,3059.04296875,3132.873046875,3101.2099609375,3071.147216796875,3074.761962890625,3174.54833984375,,,,,,,,,,,,
N  56,5647.4169921875,5918.11865234375,6178.59521484375,6399.681640625,6469.88037109375,6303.64208984375,,,,,,,,,,,,
N  57,3883.317626953125,4138.46875,4333.76318359375,4477.2783203125,4539.00732421875,4461.3896484375,,,,,,,,,,,,
N  58,4410.39453125,4509.6865234375,4661.3916015625,4756.57470703125,4856.63232421875,4739.4033203125,,,,,,,,,,,,
N  59,4744.39990234375,4804.55029296875,4916.57861328125,4990.765625,5080.14306640625,4999.77978515625,,,,,,,,,,,,
N  60,6701.18310546875,6532.01904296875,6628.7783203125,6759.34716796875,6851.3935546875,6747.9658203125,,,,,,,,,,,,
N  61,7677.9462890625,8346.9560546875,8720.5390625,9026.0888671875,9167.208984375,9284.431640625,,,,,,,,,,,,
N  62,6920.453125,7266.30126953125,7599.3046875,7864.96044921875,7958.34619140625,7757.068359375,,,,,,,,,,,,
N  63,5417.96044921875,5702.357421875,5971.2685546875,6174.80322265625,6246.30078125,6119.41259765625,,,,,,,,,,,,
N  64,2560.332275390625,2583.308349609375,2664.987060546875,2714.44580078125,2764.879150390625,2699.077392578125,,,,,,,,,,,,
N  65,5022.95751953125,5439.1796875,5730.74853515625,5915.0615234375,5982.58251953125,5897.9150390625,,,,,,,,,,,,
N  66,6076.35009765625,6251.39453125,6442.58837890625,6550.8994140625,6660.23974609375,6601.08740234375,,,,,,,,,,,,
N  67,4325.2890625,4454.4150390625,4555.93310546875,4624.32421875,4705.64404296875,4687.0947265625,,,,,,,,,,,,
N  68,6301.47216796875,6645.31005859375,6947.220703125,7066.62158203125,7119.76953125,7193.94775390625,,,,,,,,,,,,
N  69,4447.91650390625,4361.51025390625,4376.07373046875,4435.59130859375,4445.4326171875,4440.40869140625,,,,,,,,,,,,
N  70,3682.0869140625,3763.439453125,3869.743896484375,3949.79931640625,4029.817626953125,3970.814453125,,,,,,,,,,,,
N  71,6920.73974609375,7309.46484375,7513.6201171875,7785.80517578125,7957.92626953125,7945.37353515625,,,,,,,,,,,,
N  72,7543.1962890625,7702.13916015625,7928.02294921875,8042.97998046875,8209.7216796875,8074.16455078125,,,,,,,,,,,,
N  73,6252.27880859375,7490.7705078125,7955.7060546875,8300.9794921875,8214.419921875,8104.6298828125,,,,,,,,,,,,
N  74,3961.34814453125,4281.5673828125,4446.0791015625,4289.03759765625,4195.59716796875,4628.63134765625,,,,,,,,,,,,
N  75,6437.35888671875,7023.34130859375,7397.263671875,7645.3330078125,7665.96826171875,7559.61328125,,,,,,,,,,,,
N  76,3882.4970703125,4407.544921875,4646.1884765625,4819.82568359375,4862.28125,4839.361328125,,,,,,,,,,,,
N  77,4522.412109375,5014.0185546875,5259.87353515625,5446.18359375,5514.09130859375,5500.50732421875,,,,,,,,,,,,
N  78,5650.36572265625,5907.423828125,6163.89892578125,6332.666015625,6439.34130859375,6319.09912109375,,,,,,,,,,,,
N  79,7942.19677734375,8431.4873046875,8823.451171875,9041.349609375,9108.46484375,9114.494140625,,,,,,,,,,,,
N  80,5798.4033203125,5755.31005859375,5717.9521484375,5698.43115234375,5755.7431640625,5785.07470703125,,,,,,,,,,,,
N  81,9148.5126953125,9475.58203125,9769.78125,9969.9755859375,10218.966796875,10027.3701171875,,,,,,,,,,,,
N  82,4109.1005859375,4273.76171875,4450.67578125,4586.44189453125,4624.634765625,4553.29736328125,,,,,,,,,,,,
N  83,3127.54052734375,3222.0244140625,3317.11962890625,3376.268310546875,3444.129150390625,3433.833984375,,,,,,,,,,,,
N  84,5176.9287109375,5931.8583984375,6250.59765625,6496.390625,6509.3466796875,6436.30224609375,,,,,,,,,,,,
N  85,6500.07080078125,6858.53125,7124.517578125,7340.3212890625,7447.3876953125,7411.15869140625,,,,,,,,,,,,
N  86,7690.46826171875,8194.681640625,8626.3076171875,8949.51171875,8984.705078125,8799.9345703125,,,,,,,,,,,,
N  87,2543.353515625,2603.53662109375,2602.39501953125,2663.3310546875,2713.37109375,2825.38525390625,,,,,,,,,,,,
N  88,3741.40087890625,4018.356689453125,4212.85595703125,4351.82080078125,4411.359375,4341.8798828125,,,,,,,,,,,,
N  89,5501.95556640625,5753.7705078125,5990.05859375,6126.36181640625,6240.232421875,6174.5615234375,,,,,,,,,,,,
N  90,8238.732421875,8547.103515625,8894.7685546875,9083.9228515625,9241.7412109375,9102.5546875,,,,,,,,,,,,
N  91,3784.737060546875,4027.07568359375,4206.11376953125,4338.87744140625,4400.21826171875,4346.0458984375,,,,,,,,,,,,
N  92,4014.37646484375,4222.3046875,4413.306640625,4522.986328125,4614.13427734375,4511.53466796875,,,,,,,,,,,,
N  93,3921.806396484375,4334.29443359375,4579.44384765625,4746.85888671875,4777.5654296875,4735.626953125,,,,,,,,,,,,
N  94,9890.4658203125,10434.4296875,10933.521484375,11286.2724609375,11379.2021484375,11054.3955078125,,,,,,,,,,,,
N  95,2936.7333984375,2934.277587890625,2976.1220703125,3001.380126953125,3033.080078125,3003.021728515625,,,,,,,,,,,,
N  96,7350.9169921875,7413.64599609375,7551.3095703125,7617.2275390625,7736.59375,7655.642578125,,,,,,,,,,,,
N  97,4175.9677734375,4294.60986328125,4404.939453125,4475.2451171875,4552.802734375,4512.1171875,,,,,,,,,,,,
N  98,2551.432373046875,2676.259765625,2789.572265625,2819.045166015625,2869.961181640625,2827.3076171875,,,,,,,,,,,,
N  99,3846.9111328125,3957.81689453125,4003.82275390625,4058.156494140625,4063.077880859375,4120.3349609375,,,,,,,,,,,,
N 100,2553.786376953125,2562.568603515625,2603.33154296875,2632.572998046875,2668.82177734375,2639.75537109375,,,,,,,,,,,,
N 101,5757.5498046875,5763.2734375,5850.42724609375,5892.18701171875,5965.57861328125,5904.111328125,,,,,,,,,,,,
N 102,2203.081298828125,2218.706787109375,2293.347412109375,2346.885009765625,2380.960205078125,2324.8603515625,,,,,,,,,,,,
N 103,4656.27001953125,5257.80419921875,5406.36181640625,5549.37841796875,5673.72802734375,6050.87255859375,,,,,,,,,,,,
N 104,4805.35546875,4941.6455078125,5125.1796875,5284.65283203125,5363.41015625,5213.2275390625,,,,,,,,,,,,
N 105,7404.904296875,7529.12451171875,7709.6953125,7862.2099609375,8015.8662109375,7911.14892578125,,,,,,,,,,,,
N 106,4969.53271484375,4969.88720703125,5090.78857421875,5167.21923828125,5229.662109375,5149.791015625,,,,,,,,,,,,
N 107,1613.2108154296875,1292.0970458984375,1167.4210205078125,1626.0316162109375,1697.45703125,1484.0753173828125,,,,,,,,,,,,
N 108,5465.3603515625,5577.12060546875,5708.876953125,5791.734375,5911.69189453125,5854.02392578125,,,,,,,,,,,,
